"","age_group","boosted_rate","week","week_num"
"1","0-17 years",0.0121376073351768,2021-12-26,0
"2","0-17 years",0.0271320793904956,2022-01-02,1
"3","0-17 years",0.0386890255365548,2022-01-09,2
"4","0-17 years",0.0316591364087414,2022-01-16,3
"5","0-17 years",0.0214795897853597,2022-01-23,4
"6","0-17 years",0.0144584092053041,2022-01-30,5
"7","0-17 years",0.0102728372204462,2022-02-06,6
"8","0-17 years",0.00797484462976047,2022-02-13,7
"9","0-17 years",0.0066846448113077,2022-02-20,8
"10","0-17 years",0.00496975964998403,2022-02-27,9
"11","0-17 years",0.00420882985188986,2022-03-06,10
"12","0-17 years",0.00413231032404729,2022-03-13,11
"13","0-17 years",0.0037431915734936,2022-03-20,12
"14","0-17 years",0.00334313835912937,2022-03-27,13
"15","0-17 years",0.0024404627741677,2022-04-03,14
"16","0-17 years",0.00274660600244901,2022-04-10,15
"17","0-17 years",0.00209243883640324,2022-04-17,16
"18","0-17 years",0.00183082034391911,2022-04-24,17
"19","0-17 years",0.00184258410863809,2022-05-01,18
"20","0-17 years",0.0020379060264816,2022-05-08,19
"21","0-17 years",0.0041721689701261,2022-05-15,20
"22","0-17 years",0.0123144260820532,2022-05-22,21
"23","0-17 years",0.0113657563333367,2022-05-29,22
"24","0-17 years",0.0110703404074247,2022-06-05,23
"25","0-17 years",0.00951952958986641,2022-06-12,24
"26","0-17 years",0.00818797622173187,2022-06-19,25
"27","0-17 years",0.00721041642812413,2022-06-26,26
"28","0-17 years",0.0054878162351989,2022-07-03,27
"29","0-17 years",0.00654876837079778,2022-07-10,28
"30","0-17 years",0.006434448755503,2022-07-17,29
"31","0-17 years",0.00639626176139865,2022-07-24,30
"32","0-17 years",0.00652460580564342,2022-07-31,31
"33","0-17 years",0.00559501625685276,2022-08-07,32
"34","0-17 years",0.00370592943216032,2022-08-14,33
"35","0-17 years",0.00271249471263261,2022-08-21,34
"36","0-17 years",0.00165898320859136,2022-08-28,35
"37","0-17 years",0.0011171932450602,2022-09-04,36
"38","0-17 years",0.00188836440341011,2022-09-11,37
"39","0-17 years",0.0021165539825124,2022-09-18,38
"40","0-17 years",0.00202616429837205,2022-09-25,39
"41","0-17 years",0.00188729118490253,2022-10-02,40
"42","0-17 years",0.00155012438692153,2022-10-09,41
"43","0-17 years",0.00212763971718578,2022-10-16,42
"44","0-17 years",0.00380838952119722,2022-10-23,43
"45","0-17 years",0.00391133978049367,2022-10-30,44
"46","0-17 years",0.00453676079039678,2022-11-06,45
"47","0-17 years",0.00405768272387939,2022-11-13,46
"48","0-17 years",0.00366469819216667,2022-11-20,47
"49","0-17 years",0.00310470184960065,2022-11-27,48
"50","0-17 years",0.00343968200555228,2022-12-04,49
"51","0-17 years",0.00325175845940264,2022-12-11,50
"52","0-17 years",0.00342625040573328,2022-12-18,51
"53","0-17 years",0.00287462878871203,2022-12-25,52
"54","0-17 years",0.00275220432632712,2023-01-01,53
"55","0-17 years",0.00213388837238454,2023-01-08,54
"56","0-17 years",0.00161313757606254,2023-01-15,55
"57","0-17 years",0.00159415950819215,2023-01-22,56
"58","0-17 years",0.00143844778832796,2023-01-29,57
"59","0-17 years",0.00131360182546702,2023-02-05,58
"60","0-17 years",0.00113530679398872,2023-02-12,59
"61","0-17 years",0.00108332852950356,2023-02-19,60
"62","0-17 years",0.00102777562991151,2023-02-26,61
"63","0-17 years",0.00103192083767081,2023-03-05,62
"64","0-17 years",0.00107735669834479,2023-03-12,63
"65","0-17 years",0.00105019469770783,2023-03-19,64
"66","0-17 years",0.000962868120448307,2023-03-26,65
"67","0-17 years",0.000933631957627075,2023-04-02,66
"68","0-17 years",0.000829984488517859,2023-04-09,67
