"","week","demographic_value","total_cases","perc_cases"
"1",2020-04-19,"0-17 years",184,0.000233649013467834
"2",2020-04-19,"18-49 years",2375,0.000806382337951952
"3",2020-04-19,"50-64 years",1114,0.00121154249806142
"4",2020-04-19,"65-74 years",1111,0.00220643141990118
"5",2020-04-26,"0-17 years",601,0.000763168788555262
"6",2020-04-26,"18-49 years",5877,0.00199541431584995
"7",2020-04-26,"50-64 years",2634,0.00286463459595493
"8",2020-04-26,"65-74 years",2348,0.00466309718625379
"9",2020-05-03,"0-17 years",733,0.000930786559086534
"10",2020-05-03,"18-49 years",6934,0.00235429689741425
"11",2020-05-03,"50-64 years",2956,0.00321482910616658
"12",2020-05-03,"65-74 years",2430,0.00482594811013489
"13",2020-05-10,"0-17 years",852,0.00108189651888367
"14",2020-05-10,"18-49 years",6461,0.00219369948863476
"15",2020-05-10,"50-64 years",2636,0.00286680971713637
"16",2020-05-10,"65-74 years",2199,0.00436718514164058
"17",2020-05-17,"0-17 years",1237,0.00157078168293321
"18",2020-05-17,"18-49 years",7680,0.00260758583388252
"19",2020-05-17,"50-64 years",2996,0.00325833152979535
"20",2020-05-17,"65-74 years",1935,0.00384288460621852
"21",2020-05-24,"0-17 years",1792,0.00227553821812151
"22",2020-05-24,"18-49 years",10407,0.00353348252255409
"23",2020-05-24,"50-64 years",3603,0.00391848080836204
"24",2020-05-24,"65-74 years",2031,0.004033539346372
"25",2020-05-31,"0-17 years",1693,0.00214982489022306
"26",2020-05-31,"18-49 years",10674,0.00362413687381016
"27",2020-05-31,"50-64 years",3592,0.00390651764186412
"28",2020-05-31,"65-74 years",2249,0.00446648448547052
"29",2020-06-07,"0-17 years",2237,0.00284061327786709
"30",2020-06-07,"18-49 years",11936,0.00405262298349242
"31",2020-06-07,"50-64 years",3801,0.00413381780532448
"32",2020-06-07,"65-74 years",2058,0.00408716099204016
"33",2020-06-14,"0-17 years",2713,0.00344505311705562
"34",2020-06-14,"18-49 years",15165,0.00514896343370162
"35",2020-06-14,"50-64 years",4689,0.00509957160988332
"36",2020-06-14,"65-74 years",2411,0.00478821435947951
"37",2020-06-21,"0-17 years",3649,0.00463361548991373
"38",2020-06-21,"18-49 years",23410,0.00794838338166534
"39",2020-06-21,"50-64 years",6337,0.0068918714633889
"40",2020-06-21,"65-74 years",3160,0.00627571853005195
"41",2020-06-28,"0-17 years",4673,0.00593392304312602
"42",2020-06-28,"18-49 years",32371,0.0109909063839337
"43",2020-06-28,"50-64 years",8486,0.00922903917284492
"44",2020-06-28,"65-74 years",4160,0.00826170540665067
"45",2020-07-05,"0-17 years",5433,0.00689899505527577
"46",2020-07-05,"18-49 years",39016,0.0132470792831719
"47",2020-07-05,"50-64 years",10827,0.0117750185157191
"48",2020-07-05,"65-74 years",5283,0.010491968669071
"49",2020-07-12,"0-17 years",6261,0.00795041561588102
"50",2020-07-12,"18-49 years",40861,0.0138735110362336
"51",2020-07-12,"50-64 years",11303,0.0122926973569015
"52",2020-07-12,"65-74 years",5390,0.0107044692648671
"53",2020-07-19,"0-17 years",7494,0.0095161179724345
"54",2020-07-19,"18-49 years",42866,0.0145542674941677
"55",2020-07-19,"50-64 years",12495,0.013589069581039
"56",2020-07-19,"65-74 years",6024,0.0119635849446307
"57",2020-07-26,"0-17 years",6149,0.00780819447724843
"58",2020-07-26,"18-49 years",34077,0.0115701435496373
"59",2020-07-26,"50-64 years",10057,0.0109375968608651
"60",2020-07-26,"65-74 years",5016,0.00996171017301918
"61",2020-08-02,"0-17 years",5548,0.00704502568869317
"62",2020-08-02,"18-49 years",26505,0.00899922689154378
"63",2020-08-02,"50-64 years",8309,0.00903654094828758
"64",2020-08-02,"65-74 years",4623,0.00918121733051588
"65",2020-08-09,"0-17 years",8526,0.0108265841784063
"66",2020-08-09,"18-49 years",39781,0.0135068192783438
"67",2020-08-09,"50-64 years",12638,0.0137445907455119
"68",2020-08-09,"65-74 years",6339,0.0125891708107593
"69",2020-08-16,"0-17 years",5574,0.00707804131016145
"70",2020-08-16,"18-49 years",24660,0.00837279513848216
"71",2020-08-16,"50-64 years",7543,0.00820346953579651
"72",2020-08-16,"65-74 years",4287,0.00851392573997871
"73",2020-08-23,"0-17 years",4473,0.00567995672413924
"74",2020-08-23,"18-49 years",21171,0.00718817704285506
"75",2020-08-23,"50-64 years",6765,0.00735734739621681
"76",2020-08-23,"65-74 years",3829,0.0076043437504965
"77",2020-08-30,"0-17 years",3813,0.00484186787148288
"78",2020-08-30,"18-49 years",19279,0.00654578740773713
"79",2020-08-30,"50-64 years",5690,0.00618821976119345
"80",2020-08-30,"65-74 years",3456,0.00686357064552517
"81",2020-09-06,"0-17 years",2697,0.00342473581153667
"82",2020-09-06,"18-49 years",13624,0.00462574861989785
"83",2020-09-06,"50-64 years",4131,0.00449271280026188
"84",2020-09-06,"65-74 years",2313,0.00459358764557284
"85",2020-09-13,"0-17 years",2882,0.00365965465659944
"86",2020-09-13,"18-49 years",13859,0.00470553803017941
"87",2020-09-13,"50-64 years",4422,0.00480919293216123
"88",2020-09-13,"65-74 years",2326,0.00461940547496862
"89",2020-09-20,"0-17 years",2955,0.00375235236302962
"90",2020-09-20,"18-49 years",14127,0.00479653191084094
"91",2020-09-20,"50-64 years",4458,0.00484834511342713
"92",2020-09-20,"65-74 years",2397,0.00476041054320713
"93",2020-09-27,"0-17 years",2724,0.00345902126459989
"94",2020-09-27,"18-49 years",12556,0.00426313121487356
"95",2020-09-27,"50-64 years",3891,0.00423169825848923
"96",2020-09-27,"65-74 years",2247,0.00446251251171732
"97",2020-10-04,"0-17 years",2943,0.00373711438389041
"98",2020-10-04,"18-49 years",13349,0.00453237803339815
"99",2020-10-04,"50-64 years",4339,0.00471892540313152
"100",2020-10-04,"65-74 years",2226,0.00442080678730875
"101",2020-10-11,"0-17 years",2780,0.00353013183391619
"102",2020-10-11,"18-49 years",12041,0.00408827357106503
"103",2020-10-11,"50-64 years",3856,0.00419363363781405
"104",2020-10-11,"65-74 years",2077,0.00412489474269554
"105",2020-10-18,"0-17 years",4132,0.00524694415026679
"106",2020-10-18,"18-49 years",17837,0.00605618600507325
"107",2020-10-18,"50-64 years",5743,0.00624586047250157
"108",2020-10-18,"65-74 years",3010,0.00597782049856215
"109",2020-10-25,"0-17 years",3520,0.00446980721416726
