"","week","age_group","total_vaccinated","perc_doses"
"1",2020-12-13,"0-17 years",0,0
"2",2020-12-13,"18-49 years",507,3.93310006248742e-05
"3",2020-12-13,"50-64 years",403,6.59330267692997e-05
"4",2020-12-13,"65-74 years",209,6.76793307971395e-05
"5",2020-12-13,"75+ years",70,3.39406116874011e-05
"6",2020-12-20,"0-17 years",14,5.09507593664783e-06
"7",2020-12-20,"18-49 years",79,6.12849911117369e-06
"8",2020-12-20,"50-64 years",43,7.03503759573173e-06
"9",2020-12-20,"65-74 years",12,3.88589459122332e-06
"10",2020-12-20,"75+ years",6,2.90919528749153e-06
"11",2020-12-27,"0-17 years",4,1.45573598189938e-06
"12",2020-12-27,"18-49 years",260,2.01697439101919e-05
"13",2020-12-27,"50-64 years",151,2.47044343478021e-05
"14",2020-12-27,"65-74 years",41,1.3276806520013e-05
"15",2020-12-27,"75+ years",16,7.75785409997741e-06
"16",2021-01-03,"0-17 years",18,6.5508119185472e-06
"17",2021-01-03,"18-49 years",78130,0.00606100804501266
"18",2021-01-03,"50-64 years",36545,0.00597896392874456
"19",2021-01-03,"65-74 years",7870,0.00254849920274396
"20",2021-01-03,"75+ years",1336,0.000647780817348113
"21",2021-01-10,"0-17 years",72,2.62032476741888e-05
"22",2021-01-10,"18-49 years",116455,0.00903410587331306
"23",2021-01-10,"50-64 years",52236,0.00854609822908471
"24",2021-01-10,"65-74 years",10830,0.00350701986857904
"25",2021-01-10,"75+ years",2168,0.00105118923054694
"26",2021-01-17,"0-17 years",127,4.62196174253053e-05
"27",2021-01-17,"18-49 years",86843,0.00673692719381844
"28",2021-01-17,"50-64 years",42838,0.00700853350060362
"29",2021-01-17,"65-74 years",11094,0.00359250954958596
"30",2021-01-17,"75+ years",8298,0.00402341708260078
"31",2021-01-24,"0-17 years",147,5.34982973348022e-05
"32",2021-01-24,"18-49 years",127074,0.00985788476016817
"33",2021-01-24,"50-64 years",62816,0.0102770446886857
"34",2021-01-24,"65-74 years",17728,0.00574076160943392
"35",2021-01-24,"75+ years",15020,0.00728268553635379
"36",2021-01-31,"0-17 years",411,0.000149576872140161
"37",2021-01-31,"18-49 years",178290,0.0138310140067235
"38",2021-01-31,"50-64 years",86635,0.0141739647001446
"39",2021-01-31,"65-74 years",35125,0.0113743372930599
"40",2021-01-31,"75+ years",47616,0.0230873738015328
"41",2021-02-07,"0-17 years",676,0.000246019380940995
"42",2021-02-07,"18-49 years",239672,0.0185927802401673
"43",2021-02-07,"50-64 years",125160,0.0204768675693438
"44",2021-02-07,"65-74 years",128741,0.0416894962973901
"45",2021-02-07,"75+ years",134547,0.0652372497243537
"46",2021-02-14,"0-17 years",667,0.000242743974981721
"47",2021-02-14,"18-49 years",159845,0.0124001258281716
"48",2021-02-14,"50-64 years",98836,0.0161701157165521
"49",2021-02-14,"65-74 years",222496,0.0720496669140686
"50",2021-02-14,"75+ years",248948,0.120706391405073
"51",2021-02-21,"0-17 years",707,0.000257301334800715
"52",2021-02-21,"18-49 years",155492,0.0120624377695521
"53",2021-02-21,"50-64 years",104285,0.0170616022249043
"54",2021-02-21,"65-74 years",322178,0.104329145634262
"55",2021-02-21,"75+ years",309493,0.150062596185269
