"","age_group","primary_series_rate","week","week_num"
"1","0-17 years",0.00889591834004318,2021-12-26,0
"2","0-17 years",0.0114581352974223,2022-01-02,1
"3","0-17 years",0.00846509712983357,2022-01-09,2
"4","0-17 years",0.00780447462691299,2022-01-16,3
"5","0-17 years",0.0100078238121134,2022-01-23,4
"6","0-17 years",0.0090871570870595,2022-01-30,5
"7","0-17 years",0.00737410312569108,2022-02-06,6
"8","0-17 years",0.00583047702543588,2022-02-13,7
"9","0-17 years",0.00468990260540026,2022-02-20,8
"10","0-17 years",0.00371774420125556,2022-02-27,9
"11","0-17 years",0.00289882413466716,2022-03-06,10
"12","0-17 years",0.00230869351556741,2022-03-13,11
"13","0-17 years",0.00205247181982949,2022-03-20,12
"14","0-17 years",0.00160928361245833,2022-03-27,13
"15","0-17 years",0.00127087759921958,2022-04-03,14
"16","0-17 years",0.0011720540491741,2022-04-10,15
"17","0-17 years",0.00101701687566704,2022-04-17,16
"18","0-17 years",0.000919317598090806,2022-04-24,17
"19","0-17 years",0.000861642420419217,2022-05-01,18
"20","0-17 years",0.000759670907459896,2022-05-08,19
"21","0-17 years",0.000775410722029141,2022-05-15,20
"22","0-17 years",0.000899530402632327,2022-05-22,21
"23","0-17 years",0.000755623526570662,2022-05-29,22
"24","0-17 years",0.000794186072265311,2022-06-05,23
"25","0-17 years",0.000753824690619891,2022-06-12,24
"26","0-17 years",0.000678273580687517,2022-06-19,25
"27","0-17 years",0.000710315346060622,2022-06-26,26
"28","0-17 years",0.000717398262616782,2022-07-03,27
"29","0-17 years",0.000815996958168407,2022-07-10,28
"30","0-17 years",0.00192059465918861,2022-07-17,29
"31","0-17 years",0.00241235143723058,2022-07-24,30
"32","0-17 years",0.00203909297744563,2022-07-31,31
"33","0-17 years",0.0020379687049764,2022-08-07,32
"34","0-17 years",0.0017284564941969,2022-08-14,33
"35","0-17 years",0.00157578029287523,2022-08-21,34
"36","0-17 years",0.00125502535740341,2022-08-28,35
"37","0-17 years",0.00123343932599416,2022-09-04,36
"38","0-17 years",0.00168775783081071,2022-09-11,37
"39","0-17 years",0.00167347957045147,2022-09-18,38
"40","0-17 years",0.00139117475342737,2022-09-25,39
"41","0-17 years",0.00122219660130184,2022-10-02,40
"42","0-17 years",0.00113900043857869,2022-10-09,41
"43","0-17 years",0.00110403556478558,2022-10-16,42
"44","0-17 years",0.00108964487717942,2022-10-23,43
"45","0-17 years",0.000946300137352368,2022-10-30,44
